comments_interaction,dlrp,family,iuphar,multidata_name_1,multidata_name_2,score_1,score_2,source
,False,,False,P06241,Q06418,,,PhosphoPoint
,False,,False,P17612,O75581,,,ACSN;MIMP;PhosphoSite_dir;PhosphoSite_noref
,False,,False,Q2MKA7,O75581,,,Ramilowski2015
,False,,False,Q96J02,Q9H3D4,,,SPIKE;Wang
,False,,False,Q9P0L2,P61981,,,IntAct
,False,,False,P25098,P62873,,,ACSN;Wang
,False,,False,P17252,P05107,,,MIMP;PhosphoPoint;PhosphoSite_dir;PhosphoSite_noref;phosphoELM
,False,,False,P17612,P15056,,,CA1;Wang
,False,,False,P09603,Q08345,,,Signor
,False,,False,P16871,P30101,,,InnateDB
,False,,False,P00533,P28482,,,CancerCellMap;HPRD
,False,,False,Q06187,P07900,,,BioGRID
,False,,False,Q14192,Q05397,,,Wang
,False,,False,P07550,P04844,,,InnateDB
,False,,False,P60484,P46934,,,BioGRID;IntAct
,False,,False,P31751,O95716,,,PhosphoPoint
,False,,False,P84077,P28223,,,BioGRID
,False,,False,O60674,P98161,,,PhosphoPoint
,False,,False,P17252,P05106,,,Wang
,False,,False,O43921,P04629,,,Signor
,False,,False,P60709,P68032,,,ACSN
,False,,False,Q13443,P06756,,,HPMR;Ramilowski2015
,False,,False,P17252,P07355,,,HPRD;Signor
,False,,False,O96013,Q8WYL5,,,PhosphoPoint
,False,,False,P08754,O95622,,,CA1;SignaLink3;Wang
,False,,False,P17612,O43181,,,MIMP;PhosphoSite;PhosphoSite_dir
,False,,False,P14210,P14616,,,Signor
,False,,False,P07737,Q8N8S7,,,Wang
,False,,False,Q9HCJ2,Q96CW9,,,IntAct
,False,,False,P29323,P52799,,,BioGRID;HPRD
,False,,False,P06748,P31749,,,BioGRID;InnateDB
,False,,False,P20151,P05154,,,HPRD
,False,,False,Q9UQF2,P46531,,,Signor
,False,,False,Q96DA2,Q8IUH5,,,BioGRID;IntAct
,False,,False,Q15125,Q9BY08,,,HPRD
,False,,False,P00519,Q9NYB9,,,Adhesome;BioGRID;HPRD;IntAct
,False,,False,Q9H461,Q93098,,,ACSN
,False,,False,P10767,Q02763,,,Signor
,False,,False,P02462,P05556,,,Wang
,False,,False,P13501,O75815,,,IntAct
,False,,False,O94817,Q9BZ29,,,IntAct
,False,,False,P25391,P16144,,,HPMR;Wang
,False,,False,Q13618,Q8IWE4,,,BioGRID;IntAct
,False,,False,P19634,P15311,,,Adhesome;Wang
,False,,False,P40337,Q15019,,,IntAct
,False,,False,Q9P0L2,Q15831,,,HPRD
,False,,False,P60953,Q9NPB6,,,KEGG;Wang
,False,,False,P06213,O15357,,,Adhesome;BioGRID
,False,,False,P12931,Q92835,,,Adhesome
,False,,False,P60709,P23528,,,ACSN
,False,,False,Q9HBA0,P48995,,,TRIP
,False,,False,P49765,P29322,,,Signor
,False,,False,P10586,P35222,,,BioGRID;HPRD;InnateDB
,False,,False,Q9UKE5,P04844,,,IntAct
,False,,False,P27797,P16473,,,Ramilowski2015
,False,,False,P07949,P46108,,,PhosphoPoint
,False,,False,Q9BZ29,P60953,,,ACSN
,False,,False,Q9GZP0,P54762,,,Signor
,False,,False,Q14457,P04626,,,BioGRID
,False,,False,P58753,Q9NYJ8,,,SignaLink3
,False,,False,P10153,P61221,,,HPRD
,False,,False,P18827,Q16787,,,IntAct;MatrixDB
,False,,False,P17655,Q96L46,,,HPRD
,False,,False,P08254,Q99616,,,HPRD
,False,,False,P14210,P54753,,,Signor
,False,,False,Q9UM73,P21246,,,DIP;HPRD
,False,,False,Q9ULV1,O14905,,,ACSN
,False,,False,P13385,Q8NER5,,,HPRD
,False,,False,Q14790,P11831,,,HPRD
,False,,False,O15123,O15146,,,Signor
,False,,False,P29965,Q8TEB7,,,BioGRID;HPRD
,False,,False,P17252,P41180,,,MIMP;PhosphoNetworks;PhosphoPoint;PhosphoSite;PhosphoSite_dir;phosphoELM
,False,,False,P31749,P49407,,,BioGRID
,False,,False,P03956,P25116,,,ACSN
,False,,False,O14920,Q92574,,,ACSN;MIMP;PhosphoSite;PhosphoSite_dir;PhosphoSite_noref;SignaLink3
,False,,False,P48023,P06241,,,SignaLink3
,False,,False,P42336,Q14511,,,Adhesome;IntAct
,False,,False,P07996,P18827,,,Wang
,False,,False,P21246,Q9Y6N8,,,HPRD;IntAct
,False,,False,Q08211,P30876,,,SPIKE
,False,,False,Q14318,P07550,,,InnateDB
,False,,False,P07550,P14625,,,SignaLink3
,False,,False,P49841,Q9HB09,,,Signor
,False,,False,Q06187,O60331,,,PhosphoPoint
,False,,False,P62937,O00429,,,BioGRID
,False,,False,P63000,P46108,,,Adhesome
,False,,False,P61586,Q13158,,,BioGRID;IntAct
,False,,False,P27361,P49815,,,HPRD
,False,,False,P12931,P49407,,,BioGRID;IntAct
,False,,False,P31749,Q14247,,,Wang
,False,,False,P14778,P27986,,,Wang
,False,,False,P13725,P40189,,,Ramilowski2015
,False,,False,P05556,Q13797,,,Adhesome;BioGRID;CellPhoneDB;HPMR;HPRD
,False,,False,Q9HDB5,Q9NZ94,,,HPRD
,False,,False,O95271,Q9UIQ6,,,HPRD;InnateDB
,False,,False,P31946,O94921,,,HPRD;IntAct
,False,,False,P01135,Q15303,,,Signor
,False,,False,Q9UKW4,P29350,,,Wang
,False,,False,P56945,P22681,,,Adhesome
,False,,False,P61073,O60674,,,HPRD;InnateDB
,False,,False,Q9Y2H9,O95716,,,IntAct
,False,,False,Q02156,Q14469,,,MIMP
,False,,False,P01111,P68104,,,IntAct
,False,,False,P07101,P14416,,,Wang
,False,,False,P06858,Q6Q788,,,IntAct
,False,,False,Q9UGI8,P12814,,,Wang
,False,,False,Q96D31,Q13507,,,DIP;HPRD;IntAct
,False,,False,P63244,P61586,,,ACSN
,False,,False,P08254,P05121,,,Wang
,False,,False,P21926,Q969P0,,,Wang
,False,,False,Q93098,Q13467,,,Signor;Wang
,False,,False,P06241,P16410,,,BioGRID;HPRD;IntAct;Signor
,False,,False,P49841,P10070,,,SignaLink3;Signor;Wang
,False,,False,P42575,Q14790,,,SPIKE
,False,,False,P10767,P10721,,,Signor
,False,,False,Q13114,Q07011,,,SignaLink3
,False,,False,Q14790,P08670,,,Adhesome;HPRD;IntAct
,False,,False,Q13164,P10242,,,MIMP
,False,,False,P35968,P41231,,,PhosphoPoint
,False,,False,P05067,Q05209,,,InnateDB
,False,,False,O43521,P31946,,,HPRD;IntAct
,False,,False,P14625,O00206,,,HPRD;InnateDB
,False,,False,P31946,Q63HR2,,,BioGRID
,False,,False,P07550,Q15043,,,InnateDB
,False,,False,P43403,P07437,,,PhosphoPoint
,False,,False,P12931,P29317,,,Signor;Wang
,False,,False,P46777,O95373,,,HPRD
,False,,False,P52797,P54764,,,Signor
,False,,False,P07947,Q9Y5K6,,,PhosphoPoint
,False,,False,P07996,P20908,,,HPRD
,False,,False,P62993,Q13480,,,ACSN
,False,,False,Q14574,P14923,,,ACSN
,False,,False,P03372,P62879,,,BioGRID
,False,,False,P06213,O14544,,,PhosphoPoint
,False,,False,P02649,Q96JB6,,,IntAct
,False,,False,O95049,Q16625,,,ACSN;Wang
,False,,False,P22681,P09769,,,BioGRID;HPRD
,False,,False,P12956,O15355,,,BioGRID;IntAct
,False,,False,P19404,P49821,,,BioGRID
,False,,False,P04049,Q92934,,,CA1;KEGG;Signor
,False,,False,Q96RU2,O60341,,,BioGRID
,False,,False,P09038,P35916,,,Signor
,False,,False,P49841,Q13561,,,HPRD
,False,,False,P51681,P04899,,,SignaLink3
,False,,False,P11802,P10636,,,MIMP
,False,,False,P06241,Q03135,,,Adhesome;KEGG;Wang
,False,,False,P07996,P01138,,,Signor
,False,,False,Q14289,Q07889,,,Wang
,False,,False,Q14344,P36897,,,HPRD
,False,,False,Q13319,Q00535,,,Wang
,False,,False,Q13153,Q7L0Q8,,,PhosphoPoint
,False,,False,P08476,P09529,,,CellPhoneDB;HPRD
,False,,False,Q13145,O75581,,,KEGG
,False,,False,P25205,Q9BRT9,,,BioGRID
,False,,False,Q13555,O43318,,,Signor
,False,,False,Q9Y572,Q12933,,,CancerCellMap;HPRD
,False,,False,Q13976,Q13153,,,MIMP;PhosphoSite_dir;PhosphoSite_noref;SignaLink3
,False,,False,P13569,Q7LBE3,,,InnateDB
,False,,False,P01133,P27986,,,Wang
,False,,False,P06241,Q13224,,,Wang
,False,,False,P01112,P55196,,,SignaLink3
,False,,False,P16871,P04792,,,SignaLink3
,False,,False,Q9BXL7,O95999,,,Wang
,False,,False,P17612,P07550,,,CA1;Wang
,False,,False,P61812,P35555,,,MatrixDB
,False,,False,P01133,P07333,,,Signor
,False,,False,Q9HCT0,P09619,,,Signor;Wang
,False,,False,P02751,P26006,,,Ramilowski2015
,False,,False,P01033,P03956,,,Wang
,False,,False,O14944,Q6ZMQ8,,,Signor
,False,,False,P07996,Q14108,,,HPRD
,False,,False,Q99748,P07949,,,Ramilowski2015
,False,,False,P48729,Q9BXL7,,,MIMP;PhosphoSite;PhosphoSite_dir
,False,,False,P17252,P49795,,,HPRD
,False,,False,P28482,P02686,,,Signor
,False,,False,P23443,P42345,,,BioGRID;HPRD;InnateDB
,False,,False,P00533,P12956,,,HPRD
,False,,False,P16471,P61981,,,DOMINO;HPRD;LMPID
,False,,False,P07814,Q15046,,,BioGRID;IntAct
,False,,False,P02751,Q16674,,,HPRD
,False,,False,P04004,P06756,,,KEGG;Wang
,False,,False,P02751,P12110,,,HPRD
,False,,False,P23771,P14921,,,HPRD
,False,,False,P06241,A7KAX9,,,ACSN;PhosphoPoint
,False,,False,Q8WVB6,P40937,,,BioGRID
,False,,False,P10636,P23443,,,HPRD;IntAct
,False,,False,P12956,O95271,,,IntAct
,False,,False,P12931,P17302,,,Signor
,False,,False,P33981,P07437,,,PhosphoPoint
,False,,False,P48736,P07951,,,HPRD
,False,,False,P53041,P04049,,,Wang
,False,,False,P43405,Q05397,,,Wang
,False,,False,P17612,Q15256,,,MIMP;PhosphoPoint
,False,,False,P21554,P08581,,,HPRD
,False,,False,P08238,Q9GZR7,,,HPRD;IntAct
,False,,False,Q14344,Q92888,,,BioGRID;HPRD;IntAct
,False,,False,P00533,P31947,,,BioGRID;HPRD;InnateDB;IntAct
,False,,False,Q02156,P40763,,,Signor;Wang
,False,,False,P09958,Q9UK23,,,Wang
,False,,False,Q9Y243,Q13370,,,KEGG;Signor;Wang
,False,,False,Q9NR97,O00206,,,Signor
,False,,False,P06239,Q86WV1,,,PhosphoPoint;Wang
,False,,False,P08631,Q13432,,,HPRD
,False,,False,P30530,P19174,,,Li2012;PhosphoPoint
,False,,False,Q13418,Q9H0C8,,,PhosphoPoint;Wang
,False,,False,Q07444,Q13241,,,CellPhoneDB;HPMR;HPRD
,False,,False,P35372,O14939,,,HPRD
,False,,False,P20783,P29320,,,Signor
,False,,False,O95967,P27658,,,HPRD;IntAct
,False,,False,P27361,P08575,,,IntAct
,False,,False,P12931,P20138,,,Wang
,False,,False,P04626,Q05209,,,IntAct
,False,,False,Q96S53,Q15942,,,Wang
,False,,False,O00144,P09544,,,ACSN
,False,,False,Q05397,Q9UPT6,,,Adhesome;HPRD
,False,,False,P06493,P51587,,,HPRD
,False,,False,P08311,Q9UIV8,,,HPRD
,False,,False,Q13546,P04083,,,SignaLink3
,False,,False,P12931,P07949,,,Li2012;MIMP
,False,,False,P06213,Q8TCQ1,,,BioGRID
,False,,False,P32121,P06213,,,DIP;IntAct
,False,,False,P07947,Q16555,,,MIMP
,False,,False,P29323,P52735,,,HPRD
,False,,False,Q13761,Q13951,,,Wang
,False,,False,P05026,O00168,,,HPRD
,False,,False,Q15382,P15056,,,HPRD;InnateDB
,False,,False,P19525,P58753,,,PhosphoPoint
,False,,False,P00533,Q14457,,,PhosphoSite;PhosphoSite_dir;PhosphoSite_noref
,False,,False,O15519,P25445,,,Wang
,False,,False,P01112,P08700,,,HPRD
,False,,False,P16671,Q9Y2C9,,,InnateDB
,False,,False,P15692,P07949,,,Signor
,False,,False,O95750,P21802,,,Signor;Wang
,False,,False,P53041,Q9H9G7,,,BioGRID;IntAct
,False,,False,P36542,O43570,,,HPRD;IntAct
,False,,False,P06241,Q13224,,,HPRD-phos;MIMP;PhosphoPoint
,False,,False,O60674,P23458,,,IntAct
,False,,False,P06241,O14939,,,PhosphoPoint
,False,,False,P60709,Q13393,,,Adhesome;HPRD
,False,,False,Q05655,P27361,,,Wang
,False,,False,P27986,P60953,,,DOMINO;HPRD;IntAct
,False,,False,Q96B86,P12643,,,Wang
,False,,False,P45983,Q9UPT6,,,Adhesome;BioGRID;ELM;HPRD
,False,,False,Q99460,P43686,,,Wang
,False,,False,P02679,P04004,,,Signor
,False,,False,P06239,Q16827,,,IntAct
,False,,False,P29474,P02649,,,BioGRID
,False,,False,O75197,P04628,,,HPRD
,False,,False,P63000,P45983,,,Adhesome
,False,,False,P06239,P40763,,,HPRD;IntAct
,False,,False,O43586,P50570,,,Signor
,False,,False,P78552,Q14627,,,HPMR
,False,,False,P07339,P78556,,,SignaLink3
,False,,False,P23510,Q12933,,,Ramilowski2015
,False,,False,P29466,P10636,,,HPRD
,False,,False,P42575,P55957,,,SPIKE;Wang
,False,,False,P17655,P49841,,,Signor
,False,,False,P04070,P07225,,,Wang
,False,,False,Q03135,P24530,,,BioGRID;HPRD
,False,,False,Q12933,P29972,,,InnateDB;IntAct
,False,,False,P40763,P01589,,,HPRD
,False,,False,P09619,Q92918,,,Li2012
,False,,False,P20151,P04279,,,HPRD
,False,,False,P12931,Q13444,,,MIMP;PhosphoPoint;phosphoELM
,False,,False,Q13114,Q9NQC7,,,SignaLink3
,False,,False,O14944,O15146,,,Signor
,False,,False,P29474,P60709,,,BioGRID;IntAct
,False,,False,O43318,Q05655,,,PhosphoNetworks
,False,,False,P06241,Q9UQB3,,,PhosphoPoint
,False,,False,P11362,P05230,,,ACSN;PhosphoPoint
,False,,False,P61769,P29017,,,CellPhoneDB
,False,,False,P11362,P09038,,,Wang
,False,,False,P42336,P22681,,,Adhesome;BioGRID
,False,,False,O95714,O75521,,,BioGRID
,False,,False,P43405,Q9UQQ2,,,Li2012
,False,,False,P41250,P49588,,,BioGRID
,False,,False,P80108,P17900,,,HPRD
,False,,False,Q16661,P25092,,,Signor;Wang
,False,,False,P07602,P49862,,,IntAct
,False,,False,P45983,P14921,,,MIMP
,False,,False,P12931,P29323,,,Wang
,False,,False,P23470,O60674,,,Signor
,False,,False,O00141,P15056,,,HPRD-phos;MIMP;PhosphoPoint;dbPTM
,False,,False,Q08209,P10636,,,Signor
,False,,False,O75914,P60953,,,Wang
,False,,False,Q9NQS3,Q15223,,,Wang
,False,,False,P28482,P49023,,,MIMP;PhosphoPoint
,False,,False,Q05655,Q13153,,,PhosphoPoint
,False,,False,P06239,P52735,,,MIMP;PhosphoNetworks;phosphoELM
,False,,False,Q9ULV1,Q9H1J7,,,ACSN
,False,,False,P07947,O43184,,,HPRD
,False,,False,Q15078,P61764,,,HPRD
,False,,False,P49763,P29376,,,Signor
,False,,False,P35348,P50148,,,CA1;KEGG;Wang
,False,,False,Q13464,Q13480,,,KEGG
,False,,False,P17612,Q16790,,,Signor
,False,,False,P51692,P46108,,,HPRD
,False,,False,O95391,P62987,,,IntAct
,False,,False,P60953,Q16584,,,ACSN
,False,,False,P07384,P55957,,,KEGG;SPIKE;Wang
,False,,False,Q14204,O43237,,,BioGRID
,False,,False,P45983,O43353,,,ELM
,False,,False,Q9BXM7,O60260,,,KEGG;Signor;Wang
,False,,False,P11215,P15498,,,Adhesome
,False,,False,O75716,P17612,,,PhosphoNetworks
,False,,False,O15519,O14763,,,BioGRID;HPRD
,False,,False,P48047,Q9UBB9,,,IntAct
,False,,False,P49841,Q13467,,,ACSN;Wang
,False,,False,P08254,Q99727,,,MatrixDB
,False,,False,P01133,P00533,,,CellPhoneDB;HPMR;Kirouac2010;Ramilowski2015
,False,,False,P63000,Q03135,,,Adhesome;HPRD;IntAct
,False,,False,Q13177,P07355,,,IntAct
,False,,False,P05067,P18669,,,InnateDB
,False,,False,Q15303,P78536,,,PhosphoPoint
,False,,False,O43464,P07101,,,BioGRID
,False,,False,P01138,Q9UM73,,,Signor
,False,,False,P52797,P14616,,,Signor
,False,,False,P78352,P23471,,,BioGRID
,False,,False,P41595,P57057,,,IntAct
,False,,False,P12931,Q05397,,,Adhesome;KEGG;Signor;Wang
,False,,False,P11021,Q8IXB1,,,BioGRID;HPRD
,False,,False,P28482,P29350,,,SignaLink3
,False,,False,Q14790,O15455,,,InnateDB
,False,,False,Q12913,P05093,,,IntAct
,False,,False,P05771,P07355,,,HPRD
,False,,False,Q9Y5V3,Q9Y239,,,IntAct
,False,,False,Q5JWF2,Q08462,,,ACSN
,False,,False,Q13546,P13073,,,BioGRID
,False,,False,Q9NRA1,P08581,,,Signor;Wang
,False,,False,Q9UM54,O60260,,,BioGRID
,False,,False,P11487,P08922,,,Signor
,False,,False,O00220,Q14790,,,SignaLink3
,False,,False,P11362,Q9GZV9,,,Wang
,False,,False,P46934,O14964,,,BioGRID;HPRD;IntAct
,False,,False,P17252,O95622,,,CA1;Wang
,False,,False,P13726,P00747,,,Wang
,False,,False,Q9Y264,Q08345,,,Signor
,False,,False,P07858,P02760,,,IntAct
,False,,False,Q14005,O95967,,,HPRD;InnateDB
,False,,False,Q13131,P06400,,,Signor
,False,,False,P05230,P11362,,,KEGG;SignaLink3;Signor
,False,,False,P04406,P68032,,,IntAct
,False,,False,O14920,P31946,,,HPRD;InnateDB
,False,,False,P35222,Q14574,,,HPRD
,False,,False,Q9HBW1,Q9Y2I2,,,KEGG
,False,,False,P56159,P13591,,,HPRD
,False,,False,P15311,P32942,,,BioGRID;HPRD;InnateDB
,False,,False,P31947,Q92934,,,Signor
,False,,False,P11940,P68871,,,BioGRID
,False,,False,P67775,Q9NYA1,,,DEPOD
,False,,False,O95622,P62873,,,BioGRID
,False,,False,Q16539,P00533,,,SPIKE;Signor
,False,,False,O14745,P50148,,,HPRD
,False,,False,P06241,P36888,,,IntAct
,False,,False,O94907,P35222,,,IntAct
,False,,False,P01112,P06213,,,Ramilowski2015;Wang
,False,,False,P01137,Q8N2S1,,,HPRD
,False,,False,P78368,P49810,,,MIMP;PhosphoPoint
,False,,False,P30281,Q9H173,,,IntAct
,False,,False,P10721,P62993,,,BioGRID;DIP;HPRD;InnateDB;IntAct;SPIKE
,False,,False,O15530,Q13153,,,PhosphoPoint;SignaLink3;dbPTM;phosphoELM
,False,,False,P05093,P56381,,,IntAct
,False,,False,P06241,P15391,,,PhosphoPoint
,False,,False,P00533,Q13480,,,ACSN;CancerCellMap;HPRD-phos;Li2012;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_dir;PhosphoSite_noref;phosphoELM
,False,,False,P28482,P06239,,,Signor
,False,,False,P06239,P04049,,,PhosphoPoint
,False,,False,P0CG48,Q9NYG5,,,BioGRID
,False,,False,P13385,O60383,,,HPRD;IntAct
,False,,False,Q14790,Q13546,,,ACSN;CancerCellMap;HPRD-phos
,False,,False,P54652,Q92598,,,IntAct
,False,,False,Q86YT6,P34925,,,BioGRID
,False,,False,Q15118,P05106,,,HPRD-phos;MIMP;PhosphoPoint
,False,,False,Q9NSA1,P29317,,,Signor
,False,,False,P10145,P01023,,,SignaLink3
,False,,False,Q13164,P10415,,,MIMP
,False,,False,P12034,P04629,,,Signor
,False,,False,O95259,Q8NCM2,,,HPRD
,False,,False,O95999,Q92878,,,InnateDB
,False,,False,P18206,P12814,,,Wang
,False,,False,P07550,Q8WUY8,,,IntAct
,False,,False,Q13467,P56704,,,ACSN
,False,,False,P15692,O15146,,,Signor
,False,,False,P11802,P17980,,,Wang
,False,,False,P0CG47,P62987,,,DIP
,False,,False,O75084,Q9H1J7,,,ACSN
,False,,False,P52799,P29323,,,Ramilowski2015;Wang
,False,,False,P05231,P01023,,,Wang
,False,,False,P12931,Q07954,,,Adhesome;HPRD
,False,,False,Q16288,Q9ULH0,,,PhosphoPoint
,False,,False,Q04771,P17813,,,PhosphoPoint
,False,,False,P43250,Q05655,,,PhosphoNetworks
,False,,False,Q15067,P56937,,,IntAct
,False,,False,P11487,Q13308,,,Signor
,False,,False,P15153,Q9P0K1,,,IntAct
,False,,False,P20936,P41240,,,Adhesome;HPRD
,False,,False,P17693,Q13241,,,Wang
,False,,False,Q05586,P05129,,,HPRD
,False,,False,Q9HAU4,Q13017,,,BioGRID;HPRD;IntAct
,False,,False,P17612,Q9NP97,,,Signor
,False,,False,P00519,Q14289,,,Adhesome
,False,,False,Q9H0H5,P52198,,,BioGRID;HPRD
,False,,False,P06213,O15524,,,BioGRID;HPRD
,False,,False,P28482,P29353,,,PhosphoPoint
,False,,False,O14936,Q9ULB1,,,MIMP;PhosphoPoint
,False,,False,Q05655,P40763,,,Signor;Wang
,False,,False,P34947,P07550,,,Wang
,False,,False,P49023,Q14289,,,Wang
,False,,False,P35625,P50052,,,BioGRID;IntAct
,False,,False,P17612,Q68EM7,,,PhosphoSite;PhosphoSite_dir
,False,,False,P06241,Q96LC7,,,Wang
,False,,False,Q9Y264,P04626,,,Signor
,False,,False,P01127,Q08345,,,Signor
,False,,False,Q9NZ53,P14151,,,Wang
,False,,False,Q05397,P43146,,,PhosphoPoint;Wang
,False,,False,P00519,P62993,,,PhosphoPoint;SignaLink3
,False,,False,P62993,P22681,,,Signor
,False,,False,P32121,P21917,,,BioGRID
,False,,False,Q13177,P63000,,,PhosphoPoint
,False,,False,O60674,Q06124,,,PhosphoPoint
,False,,False,P42574,P16144,,,Wang
,False,,False,P09874,O94761,,,SPIKE
,False,,False,P10242,O15394,,,IntAct
,False,,False,P49771,Q8IWU2,,,Signor
,False,,False,P05111,Q03167,,,Signor
,False,,False,O75365,P54709,,,IntAct
,False,,False,O60500,O60716,,,BioGRID
,False,,False,P43405,P17252,,,Adhesome;Signor;Wang
,False,,False,P51452,P28482,,,KEGG;Wang
,False,,False,Q04759,P32942,,,Signor
,False,,False,Q12933,Q13261,,,HPRD
,False,,False,P04629,Q8WU20,,,PhosphoPoint;Wang
,False,,False,Q06187,Q05513,,,HPRD
,False,,False,Q16513,Q13459,,,IntAct
,False,,False,Q9Y265,Q9Y4K3,,,IntAct
,False,,False,P04156,O94985,,,HPRD
,False,,False,P0DP24,Q13555,,,Wang
,False,,False,P45452,P10145,,,SignaLink3
,False,,False,O43739,O60759,,,HPRD
,False,,False,P60709,Q8TF42,,,BioGRID
,False,,False,Q15149,P23229,,,HPRD
,False,,False,Q9HCT0,P29376,,,Signor
,False,,False,P18433,P12931,,,Adhesome
,False,,False,P17252,Q07021,,,PhosphoPoint
,False,,False,P15514,Q15303,,,Signor
,False,,False,Q96J02,Q9H3D4,,,BioGRID;IntAct;LMPID
,False,,False,P13010,Q9BXJ9,,,BioGRID;HPRD
,False,,False,Q95604,P43632,,,Ramilowski2015
,False,,False,Q16620,P78352,,,IntAct
,False,,False,P36897,O00212,,,PhosphoPoint
,False,,False,P12931,P37173,,,MIMP
,False,,False,P07948,P27361,,,Wang
,False,,False,P10606,Q9UJV3,,,IntAct
,False,,False,P07900,P36897,,,Signor
,False,,False,P36896,P55103,,,PhosphoPoint
,False,,False,P09486,Q13418,,,MatrixDB
,False,,False,P18084,Q03135,,,Wang
,False,,False,P27986,P25942,,,Wang
,False,,False,Q93098,Q9H461,,,Signor;Wang
,False,,False,P46109,Q92835,,,Adhesome;BioGRID;HPRD
,False,,False,Q92624,Q9NYU1,,,IntAct
,False,,False,O76093,Q9UF33,,,Signor
,False,,False,P43405,P06239,,,Signor
,False,,False,Q04759,P05060,,,Wang
,False,,False,P01891,Q8N423,,,Ramilowski2015
,False,,False,Q31612,Q13241,,,Ramilowski2015
,False,,False,Q00536,P46108,,,PhosphoNetworks
,False,,False,Q5VWK5,O60674,,,SignaLink3;Signor;Wang
,False,,False,P31947,P04049,,,BioGRID;IntAct
