comments_interaction,dlrp,family,iuphar,multidata_name_1,multidata_name_2,score_1,score_2,source
,False,,False,P09769,P25063,,,HPRD
,False,,False,P98160,P28799,,,HPRD;IntAct;MatrixDB
,False,,False,P40189,O75462,,,HPMR
,False,,False,Q99570,Q6ZNE5,,,BioGRID;InnateDB
,False,,False,Q06830,P00441,,,BioGRID
,False,,False,O15354,Q9NPC1,,,IntAct
,False,,False,P60953,Q9UJM3,,,BioGRID;HPRD
,False,,False,P08754,P31323,,,BioGRID
,False,,False,P28331,O43674,,,BioGRID
,False,,False,Q04771,P43026,,,PhosphoPoint
,False,,False,P05112,P24394,,,DIP;HPRD;InnateDB;IntAct
,False,,False,P52798,O15146,,,Signor
,False,,False,P45983,P60953,,,IntAct
,False,,False,P43026,Q01974,,,Wang
,False,,False,Q9Y572,P07900,,,IntAct
,False,,False,P35968,P08758,,,BioGRID;HPRD
,False,,False,P13861,Q02383,,,HPRD
,False,,False,O95630,Q9BSD7,,,IntAct
,False,,False,Q9NP95,P07333,,,Signor
,False,,False,P21980,P05106,,,Ramilowski2015
,False,,False,P12814,O43707,,,ACSN
,False,,False,Q6ZVD8,P23443,,,Signor
,False,,False,P02462,P13725,,,HPRD
,False,,False,P08631,Q14644,,,BioGRID;HPRD
,False,,False,P15311,P05362,,,BioGRID;HPRD;InnateDB;MPPI
,False,,False,P10909,O95925,,,BioGRID
,False,,False,P18206,O60504,,,Wang
,False,,False,P42702,O75462,,,HPMR
,False,,False,Q9UP38,O75581,,,ACSN
,False,,False,P01024,P06681,,,HPRD
,False,,False,Q02750,Q8IVT5,,,ACSN;SignaLink3;Wang
,False,,False,P14416,P42262,,,HPRD
,False,,False,Q13882,P31749,,,Signor
,False,,False,P05067,O60478,,,IntAct
,False,,False,Q9NRI5,Q03001,,,IntAct
,False,,False,P31749,Q01813,,,Wang
,False,,False,Q9ULV1,Q9GZT5,,,ACSN
,False,,False,P22004,Q04771,,,Wang
,False,,False,P42574,Q99755,,,Wang
,False,,False,P35916,P35968,,,Li2012;PhosphoPoint
,False,,False,P06241,P48023,,,PhosphoPoint;SignaLink3
,False,,False,Q9BXY4,P31431,,,Signor
,False,,False,Q9Y572,Q3ZCQ8,,,PhosphoPoint
,False,,False,Q6VMQ6,Q6UVK1,,,HPRD;IntAct
,False,,False,O43320,P22455,,,ACSN;Ramilowski2015
,False,,False,Q99988,Q9NZ94,,,IntAct
,False,,False,Q02297,Q15303,,,CellPhoneDB;Ramilowski2015
,False,,False,P15311,P45983,,,Adhesome
,False,,False,P01133,P25098,,,Wang
,False,,False,P49721,Q9UL46,,,Wang
,False,,False,P53667,P49023,,,Adhesome;HPRD
,False,,False,O60258,P36888,,,Signor
,False,,False,P05107,Q9Y490,,,Wang
,False,,False,P0CG47,Q15286,,,InnateDB
,False,,False,P01137,P36897,,,KEGG;SignaLink3;Signor
,False,,False,P02745,P17927,,,Ramilowski2015
,False,,False,Q96HF1,P36894,,,IntAct
,False,,False,P62993,Q04900,,,IntAct
,False,,False,O43318,Q9UL54,,,InnateDB
,False,,False,P12931,P34741,,,MIMP;PhosphoSite;PhosphoSite_dir
,False,,False,P16035,P05556,,,HPRD
,False,,False,O43318,O14733,,,KEGG;SignaLink3;Wang
,False,,False,P00519,P62826,,,PhosphoPoint
,False,,False,Q03135,Q9Y4K3,,,HPRD;InnateDB
,False,,False,P02647,P27169,,,HPRD
,False,,False,Q9UL25,Q9UPN3,,,IntAct
,False,,False,O15519,P40818,,,BioGRID
,False,,False,Q13464,P42574,,,Wang
,False,,False,P19022,Q9UQB3,,,ACSN
,False,,False,Q13114,P05186,,,SignaLink3
,False,,False,P36542,P24539,,,BioGRID
,False,,False,Q05513,Q9BYG5,,,BioGRID;HPRD;InnateDB;IntAct
,False,,False,P00533,P08069,,,Wang
,False,,False,Q13418,Q07954,,,Adhesome
